ForceDecks Raw Data Export,1.0
Weight,83.54
Frequency,500
Recording Date,2024-03-05T15:53:41
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-05T15:53:57
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
32.914,151.831169,286.491651,,-4.55979,-0.18614,-0.00638,81.58802,-15.54987
32.916,142.831169,281.491651,,-4.72737,-0.19542,-0.00676,82.92285,-16.32572
32.918,137.831169,277.491651,,-4.83511,-0.20499,-0.00716,85.13555,-17.12457
32.92,129.831169,270.491651,,-5.01466,-0.21484,-0.00758,86.00384,-17.94742
32.922,122.831169,266.491651,,-5.14633,-0.225,-0.00802,87.59655,-18.79627
32.924,114.831169,259.491651,,-5.32589,-0.23547,-0.00848,88.14159,-19.67112
32.926,109.831169,255.491651,,-5.43362,-0.24623,-0.00897,89.95305,-20.56997
32.928,104.831169,249.491651,,-5.56529,-0.25723,-0.00947,91.1417,-21.48882
32.93,97.831169,242.491651,,-5.73288,-0.26853,-0.01,91.38554,-22.43267
32.932,93.831169,238.491651,,-5.82864,-0.28009,-0.01054,93.07949,-23.39851
32.934,88.831169,231.491651,,-5.97229,-0.29189,-0.01112,93.49854,-24.38436
32.936,81.831169,226.491651,,-6.11593,-0.30398,-0.01171,93.72295,-25.39421
32.938,78.831169,218.491651,,-6.2476,-0.31634,-0.01233,94.05517,-26.42706
32.94,76.831169,214.491651,,-6.31942,-0.32891,-0.01298,95.81819,-27.47691
